"atlas_block","sr_total","sr_Atlas1","sr_Atlas2","sr_diff","sr_diff_z"
"4409271CE",88,63,85,22,-0.334572298670519
"4409272CE",91,70,80,10,-0.689392285125297
"4409273CE",98,88,85,-3,-1.07378060378464
"4409274CE",86,66,77,11,-0.659823952920732
"4409275CE",104,97,83,-14,-1.39903225803485
"4409276CE",90,75,78,3,-0.896370610557251
"4409281CE",89,64,85,21,-0.364140630875083
"4409282CE",94,68,85,17,-0.482413959693343
"4409284CE",78,55,71,16,-0.511982291897908
"4409285CE",88,74,76,2,-0.925938942761816
"4508628NW",120,94,98,4,-0.866802278352687
"4508711CW",138,80,134,54,0.611614331875558
"4508713CE",126,74,110,36,0.07938435219339
"4508716CE",109,81,94,13,-0.600687288511602
"4508717CE",124,80,116,36,0.07938435219339
"4508738CE",107,85,86,1,-0.955507274966381
"4508748CE",106,85,83,-2,-1.04421227158008
"4508758CE",101,56,97,41,0.227226013216214
"4508768CE",102,84,85,1,-0.955507274966381
"4508814CE",106,94,91,-3,-1.07378060378464
"4508815CE",105,85,81,-4,-1.10334893598921
"4508816CE",96,74,86,12,-0.630255620716167
"4508817CE",98,81,79,-2,-1.04421227158008
"4508818CE",96,70,88,18,-0.452845627488778
"4508821CE",99,74,91,17,-0.482413959693343
"4508822CE",100,79,78,-1,-1.01464393937551
"4508824CE",102,79,88,9,-0.718960617329862
"4508825CE",107,100,82,-18,-1.51730558685311
"4508826CE",105,82,82,0,-0.985075607170946
"4508827CE",106,89,86,-3,-1.07378060378464
"4508828CE",122,89,108,19,-0.423277295284213
"4508832CE",97,78,85,7,-0.778097281738992
"4508833CE",103,83,89,6,-0.807665613943557
"4508834CE",103,79,90,11,-0.659823952920732
"4508835CE",107,90,98,8,-0.748528949534427
"4508836CE",124,95,91,-4,-1.10334893598921
"4508837CE",84,60,61,1,-0.955507274966381
"4508838CE",96,76,82,6,-0.807665613943557
"4508841CE",95,82,71,-11,-1.31032726142116
"4508842CE",98,75,86,11,-0.659823952920732
"4508843CE",87,78,73,-5,-1.13291726819377
"4508844CE",96,79,86,7,-0.778097281738992
"4508847CE",105,87,88,1,-0.955507274966381
"4508848CE",88,77,74,-3,-1.07378060378464
"4508851CE",123,90,113,23,-0.305003966465954
"4508852CE",108,82,95,13,-0.600687288511602
"4508858CE",117,77,107,30,-0.0980256410339994
"4508861CE",97,85,77,-8,-1.22162226480747
"4508862CE",106,83,89,6,-0.807665613943557
"4508863CE",108,95,93,-2,-1.04421227158008
"4508864CE",98,82,86,4,-0.866802278352687
"4508865CE",102,81,87,6,-0.807665613943557
"4508866CE",97,76,77,1,-0.955507274966381
"4508868CE",99,84,80,-4,-1.10334893598921
"4508872CE",110,83,102,19,-0.423277295284213
"4508875CE",85,58,73,15,-0.541550624102473
"4508877CE",90,69,79,10,-0.689392285125297
"4508881SW",91,62,81,19,-0.423277295284213
"4508882CE",99,73,92,19,-0.423277295284213
"4508883CE",134,112,112,0,-0.985075607170946
"4508884CE",106,81,93,12,-0.630255620716167
"4508885CE",87,60,80,20,-0.393708963079648
"4508887CE",88,78,70,-8,-1.22162226480747
"4508888CE",100,86,79,-7,-1.1920539326029
"4508911CE",110,92,92,0,-0.985075607170946
"4508912CE",106,92,83,-9,-1.25119059701203
"4508913CE",113,102,93,-9,-1.25119059701203
"4508914CE",106,98,86,-12,-1.33989559362572
"4508915CE",104,78,99,21,-0.364140630875083
"4508917CE",96,77,82,5,-0.837233946148122
"4508918CE",98,85,83,-2,-1.04421227158008
"4508921CE",85,69,74,5,-0.837233946148122
"4508922CE",88,67,75,8,-0.748528949534427
"4508923CE",123,90,104,14,-0.571118956307038
"4508924CE",90,71,80,9,-0.718960617329862
"4508926CE",102,71,94,23,-0.305003966465954
"4508927CE",100,83,85,2,-0.925938942761816
"4508928CE",93,76,75,-1,-1.01464393937551
"4508931CE",95,85,70,-15,-1.42860059023942
"4508932CE",106,86,88,2,-0.925938942761816
