"atlas_block","sr_total","sr_Atlas1","sr_Atlas2","sr_diff","sr_diff_z"
"4308861SW",44,2,43,41,0.227226013216214
"4308862CE",140,108,127,19,-0.423277295284213
"4308862CW",102,89,75,-14,-1.39903225803485
"4308862NW",100,39,89,50,0.493341003057298
"4308862SE",136,91,127,36,0.07938435219339
"4308862SW",92,79,57,-22,-1.63557891567137
"4308863CE",86,64,76,12,-0.630255620716167
"4308863CW",65,1,65,64,0.907297653921207
"4308863NE",56,46,33,-13,-1.36946392583029
"4308863NW",17,3,14,11,-0.659823952920732
"4308864CE",73,48,69,21,-0.364140630875083
"4308864CW",60,1,60,59,0.759455992898383
"4308864NE",60,30,50,20,-0.393708963079648
"4308864NW",41,1,40,39,0.168089348807085
"4308865CE",96,50,91,41,0.227226013216214
"4308865SE",43,2,41,39,0.168089348807085
