atlas_block,checklists_total,checklists_Atlas1,checklists_Atlas2,checklists_diff,sr_total,sr_Atlas1,sr_Atlas2,sr_diff
4308824NW,20,16,4,-12,43,29,24,-5
4308824SE,20,8,12,4,61,14,61,47
4308824SW,6,1,5,4,6,1,5,4
4308825CE,124,34,90,56,109,71,103,32
4308825NE,34,16,18,2,73,11,71,60
4308825NW,6,2,4,2,28,2,26,24
4308825SE,29,4,25,21,75,4,75,71
4308825SW,11,1,10,9,64,1,64,63
4308826CE,145,16,129,113,93,45,92,47
4308826CW,36,1,35,34,67,1,67,66
4308826NW,3,2,1,-1,13,2,11,9
4308827CE,119,3,116,113,77,51,76,25
4308827NE,15,3,12,9,48,8,45,37
4308827NW,56,1,55,54,98,40,97,57
4308827SE,19,1,18,17,60,1,60,59
4308827SW,7,1,6,5,38,1,38,37
4308828CE,89,8,81,73,101,69,93,24
4308828CW,91,14,77,63,92,71,81,10
4308828NE,48,3,45,42,85,50,80,30
4308828SE,198,21,177,156,149,44,148,104
4308831CE,69,19,50,31,99,63,94,31
4308831NE,79,16,63,47,133,74,128,54
4308831NW,31,11,20,9,100,38,95,57
4308831SE,35,5,30,25,59,6,57,51
4308831SW,25,2,23,21,78,2,77,75
4308832CE,41,9,32,23,77,59,70,11
4308832CW,18,6,12,6,37,6,35,29
4308832NE,49,18,31,13,104,79,90,11
4308832NW,34,14,20,6,64,20,60,40
4308832SE,12,2,10,8,13,3,11,8
4308832SW,14,2,12,10,45,2,44,42
4308833CE,135,49,86,37,113,100,93,-7
4308833CW,107,68,39,-29,119,81,108,27
4308833NE,26,4,22,18,33,6,32,26
4308833NW,37,3,34,31,53,3,50,47
4308833SE,25,18,7,-11,66,45,44,-1
4308833SW,24,6,18,12,59,6,58,52
4308834CE,139,51,88,37,87,73,74,1
4308834CW,36,4,32,28,49,9,46,37
4308834NE,4,3,1,-2,4,3,1,-2
4308834NW,75,27,48,21,66,52,53,1
4308834SE,26,21,5,-16,35,17,23,6
4308834SW,33,13,20,7,58,12,50,38
4308835CE,84,13,71,58,111,59,108,49
4308835CW,58,14,44,30,127,18,125,107
4308835NW,22,3,19,16,60,5,59,54
4308835SE,12,2,10,8,39,1,39,38
4308836CE,110,13,97,84,90,55,86,31
4308836NE,15,3,12,9,35,3,34,31
4308836NW,19,2,17,15,58,2,58,56
4308837CE,54,8,46,38,92,68,83,15
4308837CW,8,1,7,6,10,1,9,8
4308837NE,10,2,8,6,37,6,36,30
4308837NW,118,1,117,116,128,1,128,127
4308837SW,39,4,35,31,101,12,100,88
4308838CE,122,6,116,110,91,54,90,36
4308838NE,47,1,46,45,46,1,46,45
4308838SE,33,1,32,31,46,1,45,44
4308841CE,214,81,133,52,150,90,144,54
4308841CW,38,1,37,36,91,1,91,90
4308841NE,21,2,19,17,61,7,60,53
4308841NW,7,1,6,5,44,1,44,43
4308841SE,258,72,186,114,173,108,167,59
4308841SW,10,2,8,6,46,2,44,42
4308842CE,118,47,71,24,112,86,100,14
4308842CW,36,11,25,14,88,34,83,49
4308842NW,10,2,8,6,48,3,47,44
4308842SW,16,2,14,12,72,2,70,68
4308843CE,106,33,73,40,107,81,93,12
4308843CW,90,4,86,82,61,4,61,57
4308843NE,123,2,121,119,100,7,100,93
4308843NW,40,6,34,28,58,17,53,36
4308843SE,20,1,19,18,47,1,47,46
4308843SW,50,11,39,28,68,21,65,44
4308844CE,42,17,25,8,95,67,88,21
4308844CW,20,1,19,18,47,1,47,46
4308844NE,23,12,11,-1,74,54,47,-7
4308844NW,29,1,28,27,47,1,47,46
4308844SE,17,7,10,3,48,20,40,20
4308844SW,21,2,19,17,51,3,49,46
4308845CE,140,9,131,122,96,63,92,29
4308845CW,38,2,36,34,66,2,65,63
4308845NW,228,3,225,222,169,4,169,165
4308845SE,29,2,27,25,60,13,58,45
4308845SW,19,2,17,15,65,3,65,62
4308846CE,212,22,190,168,113,75,109,34
4308846CW,15,1,14,13,42,2,41,39
4308847CE,377,57,320,263,126,71,121,50
4308847NE,63,1,62,61,84,1,83,82
4308847NW,20,1,19,18,17,1,17,16
4308848CE,154,7,147,140,113,58,106,48
4308848CW,12,1,11,10,51,4,50,46
4308848SE,51,1,50,49,55,1,55,54
4308851CE,28,9,19,10,89,61,88,27
4308851NW,16,2,14,12,55,7,52,45
4308851SE,30,7,23,16,88,22,85,63
4308851SW,41,16,25,9,87,69,72,3
4308852CE,55,23,32,9,131,114,110,-4
4308852CW,16,1,15,14,50,2,49,47
4308852NE,168,22,146,124,157,110,149,39
4308852NW,61,8,53,45,118,90,100,10
4308852SE,21,12,9,-3,48,22,42,20
4308852SW,64,11,53,42,113,41,112,71
4308853CE,52,23,29,6,88,64,77,13
4308853CW,35,3,32,29,60,7,59,52
4308853NE,20,8,12,4,92,8,91,83
4308853NW,45,4,41,37,66,4,65,61
4308853SE,15,13,2,-11,42,42,2,-40
4308853SW,62,8,54,46,67,9,64,55
4308854CE,28,8,20,12,98,85,84,-1
4308854CW,40,2,38,36,43,6,41,35
4308854NW,52,1,51,50,54,1,53,52
4308854SE,44,22,22,0,88,65,58,-7
4308854SW,49,2,47,45,57,4,56,52
4308855CE,46,7,39,32,93,41,89,48
4308855CW,81,17,64,47,123,73,118,45
4308855NE,20,1,19,18,33,1,33,32
4308855NW,81,5,76,71,123,5,123,118
4308855SE,60,2,58,56,112,2,111,109
4308855SW,168,8,160,152,152,57,152,95
4308856CE,51,7,44,37,108,30,108,78
4308856CW,42,1,41,40,76,1,75,74
4308856NE,487,31,456,425,191,66,190,124
4308856SE,60,11,49,38,144,52,144,92
4308857CE,199,9,190,181,127,67,123,56
4308857NW,6,1,5,4,29,2,28,26
4308857SE,53,2,51,49,63,3,63,60
4308857SW,17,4,13,9,63,2,63,61
4308858CE,144,6,138,132,107,57,106,49
4308858SE,26,1,25,24,29,1,28,27
4308861CE,90,21,69,48,112,84,107,23
4308861CW,43,1,42,41,113,1,113,112
4308861NW,85,4,81,77,105,7,105,98
4308861SW,6,1,5,4,44,2,43,41
4308862CE,86,19,67,48,140,108,127,19
4308862CW,31,8,23,15,102,89,75,-14
4308862NW,18,3,15,12,100,39,89,50
4308862SE,118,11,107,96,136,91,127,36
4308862SW,27,8,19,11,92,79,57,-22
4308863CE,44,8,36,28,86,64,76,12
4308863CW,17,1,16,15,65,1,65,64
4308863NE,15,5,10,5,56,46,33,-13
4308863NW,3,1,2,1,17,3,14,11
4308864CE,49,8,41,33,73,48,69,21
4308864CW,20,1,19,18,60,1,60,59
4308864NE,32,24,8,-16,60,30,50,20
4308864NW,15,1,14,13,41,1,40,39
4308865CE,52,2,50,48,96,50,91,41
4308865SE,15,2,13,11,43,2,41,39
4308865SW,33,1,32,31,105,1,105,104
4308866CE,59,3,56,53,93,50,89,39
